,Vendor Name,DOJ,Total Sales
0,FlexxCocaine,17.09.2020,886
1,hardcoke,09.04.2022,248
2,DAGO37,13.07.2022,241
3,Bulls,23.04.2022,524
4,for4dream,27.05.2022,678
5,SpliceCoke,26.09.2022,685
6,ColumbianCokeCO,23.02.2023,235
7,Plamorica,08.03.2023,132
8,trailblazer,04.06.2021,593
9,MASTOK,21.08.2021,112
10,Adis1990,23.07.2021,271
11,T4ZZ,24.02.2021,644
12,D1BODE,08.02.2023,185
13,xarthe33,27.01.2023,532
14,predator,16.10.2022,305
15,dmtdex,11.08.2022,283
16,urieL,07.11.2021,474
17,kite,18.12.2020,649
18,NexuS,18.10.2020,314
19,BigHiLL15,18.07.2022,314
20,brokenchemist,26.09.2022,411
21,CapitalPharmacy,18.12.2020,5837
22,DarkWeed,08.11.2020,1865
23,razzy,27.06.2021,249
24,KUSHBANANA,16.09.2021,419
25,yaba0101,11.09.2022,196
26,ByPGN,23.05.2022,577
27,Capri-Guns,13.06.2022,117
28,DarkWorldCitizenship,16.07.2022,893
29,XM-H4CK3R,19.05.2022,204
30,Jdkcarding,22.08.2022,523
31,CaptainTransfers,11.08.2022,1383
32,GardenSpice,05.12.2022,214
